test_case,precision,recall,f1_score
level 1,0.8174444444444444,1.0,0.8995537078926453
level 2,0.799,1.0,0.8882712618121179
level 3,0.7912539682539682,1.0,0.8834637435865625
level 4,0.7758571428571429,1.0,0.8737832837261685
level 5,0.7693809523809524,1.0,0.8696611674785371
level 6,0.7602222222222222,1.0,0.8637798257795734
level 7,0.7552539682539683,1.0,0.8605637496495782
level 8,0.7463333333333333,1.0,0.8547432716167207
level 9,0.7395079365079366,1.0,0.8502495688435883
level 10,0.7216349206349206,1.0,0.8383135262716318
level 11,0.7001587301587302,1.0,0.8236392493698068
level 12,0.682952380952381,1.0,0.811612246052855
level 13,0.6768412698412698,1.0,0.8072812639032194
level 14,0.6607936507936508,1.0,0.7957564751983178
level 15,0.6355079365079365,1.0,0.7771383095392916
level 16,0.6187777777777778,1.0,0.7644999656805546
level 17,0.6182857142857143,1.0,0.7641242937853108
level 18,0.6312380952380953,1.0,0.7739374124241009
level 19,0.6286190476190476,1.0,0.7719657319961405
level 20,0.6293650793650793,1.0,0.772528007793473
level 21,0.6306349206349207,1.0,0.7734838898082352
